Oxnard,California,184725
Fort Lauderdale,Florida,183606
Knoxville,Tennessee,183546
Fontana,California,183502
Salt Lake City,Utah,180651
Newport News,Virginia,179153
Jackson,Mississippi,175710
Tempe,Arizona,174091
Worcester,Massachusetts,173966
Brownsville,Texas,172806
Providence,Rhode Island,172459
Fayetteville,North Carolina,171853
Huntsville,Alabama,171327
Ontario,California,170936
Aurora,Illinois,170855
Rancho Cucamonga,California,170266
Santa Clarita,California,169951
Chattanooga,Tennessee,169884
Overland Park,Kansas,169403
Tallahassee,Florida,168979
Oceanside,California,168602
Garden Grove,California,165610
Vancouver,Washington,161436
Grand Prairie,Texas,158422
Cape Coral,Florida,156981
Rockford,Illinois,156596
Dayton,Ohio,155461
Springfield,Missouri,154777
Santa Rosa,California,154241
Pomona,California,152631
Salem,Oregon,151913
Sioux Falls,South Dakota,151505
Port St. Lucie,Florida,151391
Corona,California,150308
Springfield,Massachusetts,149938
Eugene,Oregon,149004
Pembroke Pines,Florida,146828
Peoria,Arizona,146743
Paterson,New Jersey,146545
Pasadena,Texas,146518
Hampton,Virginia,146439
Joliet,Illinois,144316
Lancaster,California,143616
Salinas,California,143517
Pasadena,California,143400
Naperville,Illinois,142479
Hollywood,Florida,142473
Kansas City,Kansas,142320
Torrance,California,141420
Hayward,California,140943
Palmdale,California,140882
Lakewood,Colorado,140305
Alexandria,Virginia,140024
Syracuse,New York,139079
Bridgeport,Connecticut,136695
Escondido,California,136246
Orange,California,134299
Warren,Michigan,134223
Fort Collins,Colorado,133899
Fullerton,California,132066
Mesquite,Texas,131738
Elk Grove,California,131212
Sunnyvale,California,131140
Savannah,Georgia,130331
Sterling Heights,Michigan,127349
McAllen,Texas,127245
Coral Springs,Florida,126875
Cedar Rapids,Iowa,126396
Elizabeth,New Jersey,124862
Columbia,South Carolina,124818
Hartford,Connecticut,124563
New Haven,Connecticut,123932
Carrollton,Texas,123799
Thousand Oaks,California,123349
Topeka,Kansas,122642
West Valley City,Utah,122374
El Monte,California,122272
Waco,Texas,122222
Cary,North Carolina,121796
Bellevue,Washington,121347
Concord,California,120844
Simi Valley,California,120464
Clarksville,Tennessee,119284
Visalia,California,118603
Stamford,Connecticut,118475
Olathe,Kansas,118034
Provo,Utah,117592
Springfield,Illinois,117090
Evansville,Indiana,116253
Abilene,Texas,116219
McKinney,Texas,115620
Vallejo,California,115552
Denton,Texas,115506
Ann Arbor,Michigan,115092
Lansing,Michigan,114947
Flint,Michigan,114662
Gainesville,Florida,114375
Peoria,Illinois,113546
Lafayette,Louisiana,113544
Inglewood,California,113376
Athens,Georgia,112760
Killeen,Texas,112434
Thornton,Colorado,110880
Independence,Missouri,110704
Charleston,South Carolina,110015
Santa Clara,California,109756
Beaumont,Texas,109579
Costa Mesa,California,108978
Manchester,New Hampshire,108874
Roseville,California,108759
Miramar,Florida,108240
Downey,California,108109
Victorville,California,107221
Waterbury,Connecticut,107174
Allentown,Pennsylvania,107117
Norman,Oklahoma,106707
Clearwater,Florida,106642
West Covina,California,106388
Arvada,Colorado,106328
Westminster,Colorado,106195
Elgin,Illinois,104288
South Bend,Indiana,104069
Fairfield,California,103992
Midland,Texas,103880
Pueblo,Colorado,103805
Norwalk,California,103720
Erie,Pennsylvania,103650
Lowell,Massachusetts,103512
Burbank,California,103286
San Buenaventura,California,103219
Pompano Beach,Florida,102745
West Jordan,Utah,102445
Portsmouth,Virginia,101967
Billings,Montana,101876
Wichita Falls,Texas,101590
Richmond,California,101454
Cambridge,Massachusetts,101388
Berkeley,California,101377
Daly City,California,100882
Green Bay,Wisconsin,100781
High Point,North Carolina,100432
Palm Bay,Florida,100116
